AinUTL,2,ch2_e10,le 15 juin 1666,I woke this morning before dawn to the most peculiar world.
AinUTL,2,ch2_e10,le 15 juin 1666,I have been in a boat before.
AinUTL,2,ch2_e10,le 15 juin 1666,There was a small punt Papa used to keep at the pond and I fell out of it many times.
AinUTL,2,ch2_e10,le 15 juin 1666,Thank goodness that pond was shallow.
AinUTL,2,ch2_e10,le 15 juin 1666,But I have not ever seen anything like this ship that will take us across the ocean.
AinUTL,2,ch2_e10,le 15 juin 1666,It is like being inside some sea creature all made of wood.
AinUTL,2,ch2_e10,le 15 juin 1666,It groans and creaks all around me.
AinUTL,2,ch2_e10,le 15 juin 1666,"Minette does not care for that at all, but like me, she will have to become comfortable with it."
AinUTL,2,ch2_e10,le 15 juin 1666,We dressed one at a time since the cabin is so cramped.
AinUTL,2,ch2_e10,le 15 juin 1666,"Catherine normally would have grumbled, but she is so unhappy with this that she said nothing, only stood there with tears in her eyes."
AinUTL,2,ch2_e10,le 15 juin 1666,"I tried to make her laugh, saying that the cabin was a mere closet, but it was our closet."
AinUTL,2,ch2_e10,le 15 juin 1666,She did not laugh.
AinUTL,2,ch2_e10,le 15 juin 1666,"Out in the common room, we had eggs and bread for breakfast."
AinUTL,2,ch2_e10,le 15 juin 1666,There were pears and slices of lemon.
AinUTL,2,ch2_e10,le 15 juin 1666,I shared my eggs with Minette.
AinUTL,2,ch2_e10,le 15 juin 1666,"“Eat the fruit,” Madame Laurent insisted."
AinUTL,2,ch2_e10,le 15 juin 1666,"“There is fresh food now, but once we have been at sea for a while, all we will get is salt eels or salt pork.” Later there were bells, bells, bells."
AinUTL,2,ch2_e10,le 15 juin 1666,They ring to mark the half hours on each watch.
AinUTL,2,ch2_e10,le 15 juin 1666,Perhaps I will become accustomed to them.
AinUTL,2,ch2_e10,le 15 juin 1666,I shall explore.
AinUTL,4,ch4_e5,le 18 août 1666,"It was the feast day today of Sainte Hélène, after whom I was named."
AinUTL,4,ch4_e5,le 18 août 1666,Fourteen years ago I was born.
AinUTL,4,ch4_e5,le 18 août 1666,"Once, at home, there would have been a small celebration after mass, and a special meal as well."
AinUTL,4,ch4_e5,le 18 août 1666,Perhaps mussels.
AinUTL,4,ch4_e5,le 18 août 1666,They have always been my favourite.
AinUTL,4,ch4_e5,le 18 août 1666,"Papa, Catherine and I would have walked through the garden and talked of happy things."
AinUTL,4,ch4_e5,le 18 août 1666,I have left far more than my girlhood behind me today.
AinUTL,4,ch4_e8,le 25 août 1666,This morning the most beautiful thing happened.
AinUTL,4,ch4_e8,le 25 août 1666,It cheered my heart and moved me deeply.
AinUTL,4,ch4_e8,le 25 août 1666,"It began with one small bird, a sort of finch."
AinUTL,4,ch4_e8,le 25 août 1666,"Papa would have known what it was, although I have not ever seen a bird like it in France."
AinUTL,4,ch4_e8,le 25 août 1666,Then another and another until the entire ship was covered with them.
AinUTL,4,ch4_e8,le 25 août 1666,"They perched in the rigging and on the ratlings, or hopped about finding and eating small insects."
AinUTL,4,ch4_e8,le 25 août 1666,"They even landed on peoples’ heads and shoulders, promptly going to sleep."
AinUTL,4,ch4_e8,le 25 août 1666,"Kateri brought up ship’s biscuit and crumbled it for them, but the birds cared more for the weevils that fell out."
AinUTL,4,ch4_e8,le 25 août 1666,"Monsieur Aubry says that the birds are beginning to fly south as birds do, and they have chosen the ship on which to stop and rest."
AinUTL,4,ch4_e8,le 25 août 1666,Perhaps they think we are an island.
AinUTL,4,ch4_e8,le 25 août 1666,What a wonderful thought.
AinUTL,4,ch4_e8,le 25 août 1666,Papa would have been so pleased to see it all.
AinUTL,4,ch4_e8,le 25 août 1666,After the evening meal I came back out on deck.
AinUTL,4,ch4_e8,le 25 août 1666,"Many of the birds had died, perhaps from exhaustion or injury caused by the sailors’ feet."
AinUTL,4,ch4_e8,le 25 août 1666,I was unable to sleep well tonight.
AinUTL,4,ch4_e8,le 25 août 1666,"I woke, my pillow wet with tears, a very sad dream of Catherine’s spirit weeping over the dead birds clear in my mind."
AinUTL,4,ch4_e8,le 25 août 1666,"I lay awake for a long while, more hateful tears dampening my pillow."
AinUTL,4,ch4_e8,le 25 août 1666,Why must death come to ruin whatever happiness I take in something?
AinUTL,12,ch12_e8,le 16 avril 1667,"The weather remains fine, which is a delight after the long, harsh winter."
AinUTL,12,ch12_e8,le 16 avril 1667,The muddy streets are filled with people.
AinUTL,12,ch12_e8,le 16 avril 1667,"Some have things to trade, such as cheeses they have made, or a few precious bags of dried berries."
AinUTL,12,ch12_e8,le 16 avril 1667,"Some are venturing out to inspect the fields they will soon begin to plough, and some are simply out for the pleasure of it."
AinUTL,12,ch12_e8,le 16 avril 1667,There is a smell of animal droppings from the sheep and cows that are being driven out to the common.
AinUTL,12,ch12_e8,le 16 avril 1667,Séraphin has turned over the soil in the kitchen garden.
AinUTL,12,ch12_e8,le 16 avril 1667,I will plant the peas tomorrow.
AinUTL,12,ch12_e8,le 16 avril 1667,"Later there will be cucumbers, shallots and all the herbs we need for cooking as well as healing."
AinUTL,12,ch12_e8,le 16 avril 1667,Jean says that there is wild chervil in the woods.
AinUTL,12,ch12_e8,le 16 avril 1667,He will take me there to pick some in time.
AinUTL,12,ch12_e8,le 16 avril 1667,"It is a small thing, but how I look forward to it."
AinUTL,12,ch12_e8,le 16 avril 1667,Minette shall come too.
AinUTL,12,ch12_e8,le 16 avril 1667,"I am becoming more like her each day, I have told her."
AinUTL,12,ch12_e8,le 16 avril 1667,I can nearly understand her desire to wander.
